leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,status
Sick Leave,3,8,0,0,Approved
Annual Leave,10,8,4,1,Approved
Sick Leave,5,4,0,2,Approved
Casual Leave,2,6,1,3,Approved
Annual Leave,3,6,2,4,Approved
Annual Leave,14,7,4,0,Approved
Casual Leave,1,12,3,1,Approved
Annual Leave,3,4,3,2,Approved
Sick Leave,1,6,0,3,Rejected
Casual Leave,2,3,4,0,Rejected
Sick Leave,5,8,4,0,Approved
Annual Leave,1,5,1,1,Approved
Sick Leave,2,5,2,2,Approved
Sick Leave,1,12,4,3,Approved
Annual Leave,10,9,4,4,Rejected
Annual Leave,5,2,4,4,Rejected
Annual Leave,5,9,3,0,Approved
Annual Leave,7,6,4,1,Rejected
Casual Leave,1,4,0,1,Rejected
Annual Leave,2,1,3,0,Approved
Casual Leave,5,4,2,1,Rejected
Annual Leave,2,5,0,1,Rejected
Casual Leave,1,7,0,0,Approved
Sick Leave,2,3,1,1,Rejected
Casual Leave,2,1,1,1,Approved
Annual Leave,5,7,3,2,Approved
Annual Leave,3,4,3,3,Approved
Annual Leave,3,4,3,4,Rejected
Casual Leave,1,8,2,0,Approved
Casual Leave,5,4,0,1,Approved
Sick Leave,1,9,4,2,Approved
Sick Leave,2,9,3,3,Approved
Annual Leave,10,5,0,4,Approved
Sick Leave,3,1,2,5,Approved
Sick Leave,2,7,4,0,Rejected
Casual Leave,1,8,3,0,Approved
Annual Leave,14,7,1,1,Rejected
Sick Leave,3,11,0,1,Approved
Casual Leave,3,11,2,2,Rejected
Annual Leave,3,11,3,0,Approved
Annual Leave,7,1,0,1,Approved
Casual Leave,3,4,4,2,Approved
Annual Leave,7,9,4,3,Rejected
Casual Leave,1,6,1,3,Approved
Sick Leave,2,11,2,0,Approved
Sick Leave,3,11,0,1,Approved
Sick Leave,5,1,4,2,Approved
Casual Leave,5,10,4,3,Rejected
Sick Leave,3,12,0,3,Approved
Annual Leave,3,7,1,4,Approved
Sick Leave,7,2,0,5,Rejected
Annual Leave,3,5,4,0,Approved
Casual Leave,2,5,2,1,Approved
Casual Leave,1,1,3,2,Approved
Sick Leave,5,5,1,0,Approved
Casual Leave,1,7,2,1,Approved
Casual Leave,1,1,4,2,Approved
Annual Leave,5,10,0,3,Rejected
Annual Leave,2,8,2,3,Approved
Casual Leave,7,7,1,4,Rejected
Annual Leave,5,2,0,4,Rejected
Sick Leave,1,11,2,0,Approved
Annual Leave,3,12,3,1,Approved
Casual Leave,2,4,1,0,Rejected
Annual Leave,2,1,0,0,Rejected
Casual Leave,2,2,2,0,Approved
Annual Leave,5,6,3,1,Approved
Annual Leave,5,8,2,2,Rejected
Casual Leave,1,2,3,2,Approved
Sick Leave,3,8,0,0,Rejected
Sick Leave,3,10,3,0,Approved
Annual Leave,3,6,0,1,Approved
Annual Leave,7,6,3,2,Approved
Annual Leave,2,9,3,0,Rejected
Casual Leave,3,5,0,0,Approved
